id,store,title,price,info,search_value,link,image_url
653,Extra,"CARE by PanzerGlass Flagship Case, Urban Combat with Peachy MagSafe for iPhone 16 Pro, Clear",129.00,Color: Transparent; Material: Not Applicable; Case Style: Hard Case Cover,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-case-urban-combat-with-peachy-magsafe-for-iphone-16-pro-clear/p/100379502,"https://media.extra.com/i/aurora/100379502_100_00/CARE-by-PanzerGlass-Flagship-Case%2C-Urban-Combat-with-Peachy-MagSafe-for-iPhone-16-Pro%2C-Clear?locale=en-GB,en-*,*&img404=edd"
654,Extra,"CARE by PanzerGlass Fashionable Case with MagSafe iPhone 16 Pro, Peach",99.00,Color: Peach; Material: Not Applicable; Case Style: Leather case,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-fashionable-case-with-magsafe-iphone-16-pro-peach/p/100379062,"https://media.extra.com/i/aurora/100379062_100_00/CARE-by-PanzerGlass-Fashionable-Case-with-MagSafe-iPhone-16-Pro%2C-Peach?locale=en-GB,en-*,*&img404=edd"
655,Extra,"SAFE by PanzerGlass Screen Protector iPhone 16 Pro, Ultra-Wide Fit, Clear",79.00,Made in: China; Color: Clear; Compatibility: iPhone 16 Pro,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/screen-protector/safe-by-panzerglass-screen-protector-iphone-16-pro-ultra-wide-fit-clear/p/100379054,"https://media.extra.com/i/aurora/100379054_100_00/SAFE-by-PanzerGlass-Screen-Protector-iPhone-16-Pro%2C-Ultra-Wide-Fit%2C-Clear?locale=en-GB,en-*,*&img404=edd"
656,Extra,"PanzerGlass Privacy Screen Protector for iPhone 16 Pro, Ultra-Wide Fit, Clear",155.00,Made in: China; Color: PRIVACY; Compatibility: iPhone 16 Pro,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/screen-protector/panzerglass-privacy-screen-protector-for-iphone-16-pro-ultra-wide-fit-clear/p/100379051,"https://media.extra.com/i/aurora/100379051_100_00/PanzerGlass-Privacy-Screen-Protector-for-iPhone-16-Pro%2C-Ultra-Wide-Fit%2C-Clear?locale=en-GB,en-*,*&img404=edd"
657,Extra,"SAFE by PanzerGlass Screen Protector iPhone 16, Ultra-Wide Fit, Privacy",89.00,Made in: China; Color: PRIVACY; Compatibility: iPhone 16,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/screen-protector/safe-by-panzerglass-screen-protector-iphone-16-ultra-wide-fit-privacy/p/100379050,"https://media.extra.com/i/aurora/100379050_100_00/SAFE-by-PanzerGlass-Screen-Protector-iPhone-16%2C-Ultra-Wide-Fit%2C-Privacy?locale=en-GB,en-*,*&img404=edd"
658,Extra,"PanzerGlass Ceramic Screen Protector iPhone 16 Pro, Ultra-Wide Fit, Clear",169.00,Made in: China; Color: Clear; Compatibility: iPhone 16 Pro,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/screen-protector/panzerglass-ceramic-screen-protector-iphone-16-pro-ultra-wide-fit-clear/p/100379048,"https://media.extra.com/i/aurora/100379048_100_00/PanzerGlass-Ceramic-Screen-Protector-iPhone-16-Pro%2C-Ultra-Wide-Fit%2C-Clear?locale=en-GB,en-*,*&img404=edd"
659,Extra,"PanzerGlass Hoops Lens Protector iPhone 16, Black",69.00,Made in: China; Compatibility: iPhone 16; Brand Name: PanzerGlass,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/gadgets/panzerglass-hoops-lens-protector-iphone-16-black/p/100379047,"https://media.extra.com/i/aurora/100379047_100_00/PanzerGlass-Hoops-Lens-Protector-iPhone-16%2C-Black?locale=en-GB,en-*,*&img404=edd"
660,Extra,"CARE by PanzerGlass Flagship Case Urban Combat with MagSafe for iPhone 16, Clear\White",129.00,Color: Transparent; Material: Not Applicable; Case Style: Hard Case Cover,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-case-urban-combat-with-magsafe-for-iphone-16-clear-white/p/100379046,"https://media.extra.com/i/aurora/100379046_100_00/CARE-by-PanzerGlass-Flagship-Case-Urban-Combat-with-MagSafe-for-iPhone-16%2C-Clear%5CWhite?locale=en-GB,en-*,*&img404=edd"
661,Extra,"CARE by PanzerGlass Case with MagSafe for iPhone 16 Pro, Blue",99.00,Color: Blue; Material: Not Applicable; Case Style: Hard,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-case-with-magsafe-for-iphone-16-pro-blue/p/100379043,"https://media.extra.com/i/aurora/100379043_100_00/CARE-by-PanzerGlass-Case-with-MagSafe-for-iPhone-16-Pro%2C-Blue?locale=en-GB,en-*,*&img404=edd"
662,Extra,"PanzerGlass Screen Protector Aluminum Frame iPhone 16 Pro, Ultra-Wide Fit, Clear",159.00,Made in: China; Color: Clear; Compatibility: iPhone 16 Pro,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/screen-protector/panzerglass-screen-protector-aluminum-frame-iphone-16-pro-ultra-wide-fit-clear/p/100378797,"https://media.extra.com/i/aurora/100378797_100_00/PanzerGlass-Screen-Protector-Aluminum-Frame-iPhone-16-Pro%2C-Ultra-Wide-Fit%2C-Clear?locale=en-GB,en-*,*&img404=edd"
663,Extra,"PanzerGlass Screen Protector iPhone 16 Pro, Clear",99.00,Made in: China; Color: Clear; Compatibility: iPhone 16 Pro,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/screen-protector/panzerglass-screen-protector-iphone-16-pro-clear/p/100378796,"https://media.extra.com/i/aurora/100378796_100_00/PanzerGlass-Screen-Protector-iPhone-16-Pro%2C-Clear?locale=en-GB,en-*,*&img404=edd"
664,Extra,"CARE by PanzerGlass Flagship Case Smokey Urban Combat with Black MagSafe for iPhone 16 Pro, Black",129.00,Color: Smokey Black; Material: Not Applicable; Case Style: Hard Case Cover,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-case-smokey-urban-combat-with-black-magsafe-for-iphone-16-pro-black/p/100378792,"https://media.extra.com/i/aurora/100378792_100_00/CARE-by-PanzerGlass-Flagship-Case-Smokey-Urban-Combat-with-Black-MagSafe-for-iPhone-16-Pro%2C-Black?locale=en-GB,en-*,*&img404=edd"
665,Extra,"CARE by PanzerGlass Flagship Case Urban Combat with MagSafe for iPhone 16 Pro, Green",129.00,Color: Green; Material: Not Applicable; Case Style: Hard Case Cover,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-case-urban-combat-with-magsafe-for-iphone-16-pro-green/p/100378791,"https://media.extra.com/i/aurora/100378791_100_00/CARE-by-PanzerGlass-Flagship-Case-Urban-Combat-with-MagSafe-for-iPhone-16-Pro%2C-Green?locale=en-GB,en-*,*&img404=edd"
666,Extra,"CARE by PanzerGlass Flagship 3-in-1 Bundle iPhone 16, Clear",199.00,Color: Clear; Material: Recycled plastic; Made in: China,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-3-in-1-bundle-iphone-16-clear/p/100378789,"https://media.extra.com/i/aurora/100378789_100_00/CARE-by-PanzerGlass-Flagship-3-in-1-Bundle-iPhone-16%2C-Clear?locale=en-GB,en-*,*&img404=edd"
667,Extra,"SAFE by PanzerGlass 2-in-1 Protection Bundle iPhone 16 Pro, Clear",99.00,Color: Clear; Material: TPU; Made in: China,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/safe-by-panzerglass-2-in-1-protection-bundle-iphone-16-pro-clear/p/100378788,"https://media.extra.com/i/aurora/100378788_100_00/SAFE-by-PanzerGlass-2-in-1-Protection-Bundle-iPhone-16-Pro%2C-Clear?locale=en-GB,en-*,*&img404=edd"
668,Extra,"PanzerGlass Ceramic Screen Protector iPhone 16 Pro, Ultra-Wide Fit, Clear",169.00,Made in: China; Color: Clear; Compatibility: iPhone 16 Pro,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/screen-protector/panzerglass-ceramic-screen-protector-iphone-16-pro-ultra-wide-fit-clear/p/100378785,"https://media.extra.com/i/aurora/100378785_100_00/PanzerGlass-Ceramic-Screen-Protector-iPhone-16-Pro%2C-Ultra-Wide-Fit%2C-Clear?locale=en-GB,en-*,*&img404=edd"
669,Extra,"CARE by PanzerGlass Fashionable Case with MagSafe for iPhone 16 Pro, Green",99.00,Color: Green; Material: Not Applicable; Case Style: Leather case,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-fashionable-case-with-magsafe-for-iphone-16-pro-green/p/100378669,"https://media.extra.com/i/aurora/100378669_100_00/CARE-by-PanzerGlass-Fashionable-Case-with-MagSafe-for-iPhone-16-Pro%2C-Green?locale=en-GB,en-*,*&img404=edd"
670,Extra,"CARE by PanzerGlass Flagship 3-in-1 Bundle iPhone 16, Clear",199.00,Color: Clear; Material: Recycled plastic; Made in: China,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-3-in-1-bundle-iphone-16-clear/p/100378515,"https://media.extra.com/i/aurora/100378515_100_00/CARE-by-PanzerGlass-Flagship-3-in-1-Bundle-iPhone-16%2C-Clear?locale=en-GB,en-*,*&img404=edd"
671,Extra,"Apple iPhone 16 Plus Silicone Case with MagSafe,Plum",199.00,Color: Plum; Material: Silicone; Made in: Assorted,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/apple-iphone-16-plus-silicone-case-with-magsafe-plum/p/100384041,"https://media.extra.com/i/aurora/100384041_100_00/Apple-iPhone-16-Plus-Silicone-Case-with-MagSafe%2CPlum?locale=en-GB,en-*,*&img404=edd"
